learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,thisRow.t,notes,text.started,text1.started,text1_key_resp.started,text.stopped,text1_key_resp.keys,text1_key_resp.rt,text1_key_resp.duration,fixation_learning.started,fixation1.started,fixation1.stopped,fixation_learning.stopped,learning_complete.started,left_image.started,right_image.started,key_resp.started,reward_A1,reward_B,text_no_resp.started,text_no_resp.stopped,gain_reward,polygon.started,left_learning_reward.started,right_learning_reward.started,key_resp.stopped,polygon.stopped,left_learning_reward.stopped,right_learning_reward.stopped,left_image.stopped,right_image.stopped,learning_complete.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reward_A2,reward_C,participant,session,learning type,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.028585599968209863,0.06061849999241531,0.06061849999241531,3.7236885000020266,space,3.646656399942003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
0,0,0,0,3.735371899907477,,,,,,,,,3.7247812999412417,3.735371899907477,4.875270999968052,4.721353099914268,4.72136640001554,4.875270999968052,4.875270999968052,4.875270999968052,63,53,4.875270999968052,5.886017599957995,53,8.73596799990628,8.73596799990628,8.73596799990628,8.885916500003077,9.7361614999827,9.7361614999827,9.7361614999827,9.884974299930036,9.884974299930036,9.874061199952848,right,1.2414309999439865,0.13569140003528446,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
1,0,1,0,10.236442199908197,,,,,,,,,10.22471759992186,10.236442199908197,11.290231899940409,11.221280099940486,11.221295499941334,11.290231899940409,11.290231899940409,11.290231899940409,,,11.290231899940409,12.302466499968432,48,15.23600049992092,15.23600049992092,15.23600049992092,15.302763100015,16.235578899970278,16.235578899970278,16.235578899970278,16.301978899980895,16.301978899980895,16.290584399946965,right,0.5056341000599787,0.19125579996034503,59,48,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
2,0,2,0,16.65158770000562,,,,,,,,,16.64049779996276,16.65158770000562,17.70592829992529,17.64007429999765,17.640096899936907,17.70592829992529,17.70592829992529,17.70592829992529,,,17.70592829992529,18.718877299921587,,21.652346599963494,21.652346599963494,21.652346599963494,21.719013599911705,22.653316300013103,22.653316300013103,22.653316300013103,22.718519799993373,22.718519799993373,22.70711570000276,None,,,62,49,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
3,0,3,0,23.069864799967036,,,,,,,,,23.05672270001378,23.069864799967036,,24.056388199911453,24.056410899967887,24.121893999981694,24.121893999981694,24.121893999981694,69,72,24.121893999981694,25.135535800014623,,28.069335300009698,28.069335300009698,28.069335300009698,28.13572109991219,29.069386299932376,29.069386299932376,29.069386299932376,29.1355096999323,29.1355096999323,29.123362199985422,None,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
4,0,4,0,29.485393399954773,,,,,,,,,29.473140799906105,29.485393399954773,,30.472926399903372,30.472946099936962,30.537210899987258,30.537210899987258,30.537210899987258,,,30.537210899987258,31.55207979993429,,34.48530109995045,34.48530109995045,34.48530109995045,34.55236319999676,35.485853599966504,35.485853599966504,35.485853599966504,35.53516460000537,35.53516460000537,35.52431719994638,None,,,53,26,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
5,0,5,0,35.884580999962054,,,,,,,,,35.870152799994685,35.884580999962054,,36.87225439993199,36.87227289995644,36.937477299943566,36.937477299943566,36.937477299943566,,,36.937477299943566,37.9521791000152,62,40.869032999966294,40.869032999966294,40.869032999966294,40.952197399921715,41.86820299993269,41.86820299993269,41.86820299993269,41.95168159995228,41.95168159995228,41.937389399972744,left,0.5466674999333918,0.23316459998022765,68,62,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
6,0,6,0,42.3018520999467,,,,,,,,,42.29058449994773,42.3018520999467,,43.290448599960655,43.29046739998739,43.37108069995884,43.37108069995884,43.37108069995884,,,43.37108069995884,44.385507999919355,77,47.30188709998038,47.30188709998038,47.30188709998038,47.384921599994414,48.30267839995213,48.30267839995213,48.30267839995213,48.38491599995177,48.38491599995177,48.374919099966064,right,1.3284573999699205,0.5438504000194371,77,52,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
7,0,7,0,48.73536079993937,,,,,,,,,48.72399869991932,48.73536079993937,49.78545239998493,49.72353189997375,49.72355449991301,49.78545239998493,49.78545239998493,49.78545239998493,,,49.78545239998493,50.78504929994233,62,53.73554019990843,53.73554019990843,53.73554019990843,53.78529649996199,54.73599469999317,54.73599469999317,54.73599469999317,54.78422589995898,54.78422589995898,54.77567329991143,right,1.0178417999995872,0.29754349996801466,72,62,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
8,0,8,0,55.13550239999313,,,,,,,,,55.123142599943094,55.13550239999313,56.20460139994975,56.12223739991896,56.12226109998301,56.20460139994975,56.20460139994975,56.20460139994975,,,56.20460139994975,57.21817759994883,58,60.13488549995236,60.13488549995236,60.13488549995236,60.21822749997955,61.13573490001727,61.13573490001727,61.13573490001727,61.218211799976416,61.218211799976416,61.207705799955875,left,3.6308927999343723,0.23244240006897599,71,58,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
9,0,9,0,61.56812459998764,,,,,,,,,61.55547739996109,61.56812459998764,,62.55537109996658,62.55539110000245,62.61996399995405,62.61996399995405,62.61996399995405,,,62.61996399995405,63.63530470000114,27,66.56789850001223,66.56789850001223,66.56789850001223,66.63465989998076,67.5687111999141,67.5687111999141,67.5687111999141,67.63434679992497,67.63434679992497,67.62335869995877,right,0.5833043999737129,0.25599289999809116,62,27,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
10,0,10,0,67.98556079994887,,,,,,,,,67.97166719997767,67.98556079994887,,68.97194640000816,68.97196549992077,69.03696930001024,69.03696930001024,69.03696930001024,38,39,69.03696930001024,70.05118969990872,,72.98444869997911,72.98444869997911,72.98444869997911,73.05139019992203,73.98541650001425,73.98541650001425,73.98541650001425,74.05068529990967,74.05068529990967,74.04070379992481,None,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
11,0,11,0,74.40136329992674,,,,,,,,,74.38849119993392,74.40136329992674,,75.38824919995386,75.38826709997375,75.45337559992913,75.45337559992913,75.45337559992913,,,75.45337559992913,76.46780999994371,,79.40129269997124,79.40129269997124,79.40129269997124,79.46844989992678,80.40151589992456,80.40151589992456,80.40151589992456,80.4677168999333,80.4677168999333,80.45454700000118,None,,,45,25,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
12,0,12,0,80.817475299933,,,,,,,,,80.80571949994192,80.817475299933,81.86992949992418,81.804664199939,81.80468149995431,81.86992949992418,81.86992949992418,81.86992949992418,,,81.86992949992418,82.88422070001252,,85.81717219995335,85.81717219995335,85.81717219995335,85.88459559995681,86.81813289993443,86.81813289993443,86.81813289993443,86.88433349994011,86.88433349994011,86.87292100000195,None,,,64,43,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
13,0,13,0,87.23433100001421,,,,,,,,,87.22106909996364,87.23433100001421,,88.2209607999539,88.22097979998216,88.28637469990645,88.28637469990645,88.28637469990645,55,43,88.28637469990645,89.30096319993027,43,92.23455910000484,92.23455910000484,92.23455910000484,92.3011749999132,93.23487169994041,93.23487169994041,93.23487169994041,93.30072910001036,93.30072910001036,93.29024229990318,right,1.8456902999896556,0.1923600999871269,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
14,0,14,0,93.65018499991857,,,,,,,,,93.63735239999369,93.65018499991857,94.70261739997659,94.63573450001422,94.63574729999527,94.70261739997659,94.70261739997659,94.70261739997659,67,37,94.70261739997659,95.70088139991276,,98.65059279999696,98.65059279999696,98.65059279999696,98.7172252999153,99.65129479998723,99.65129479998723,99.65129479998723,99.70049650000874,99.70049650000874,99.68981279991567,None,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
15,0,15,0,100.05073059990536,,,,,,,,,100.037903899909,100.05073059990536,101.1024281999562,101.03799049998634,101.03800920001231,101.1024281999562,101.1024281999562,101.1024281999562,44,44,101.1024281999562,102.11735780001618,44,105.0506937999744,105.0506937999744,105.0506937999744,105.11742299993057,106.05073919997085,106.05073919997085,106.05073919997085,106.1168091999134,106.1168091999134,106.10727579996455,left,0.6855387000832707,0.5677646999247372,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
16,0,16,0,106.4675486999331,,,,,,,,,106.45645689999219,106.4675486999331,107.5200266999891,107.45444309990853,107.45447080000304,107.5200266999891,107.5200266999891,107.5200266999891,54,47,107.5200266999891,108.53381689998787,,111.46729279996362,111.46729279996362,111.46729279996362,111.53395610000007,112.46742080000695,112.46742080000695,112.46742080000695,112.53371879993938,112.53371879993938,112.5214832999045,None,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
17,0,17,0,112.88361729995813,,,,,,,,,112.87088539998513,112.88361729995813,,113.87071009993088,113.87072889995761,113.93643379991408,113.93643379991408,113.93643379991408,,,113.93643379991408,114.95049319998361,,117.88282719999552,117.88282719999552,117.88282719999552,117.94963169994298,118.88375979999546,118.88375979999546,118.88375979999546,118.94968189997599,118.94968189997599,118.93823390000034,None,,,57,51,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
18,0,18,0,119.30055549996905,,,,,,,,,119.28731679997873,119.30055549996905,,120.28786059992854,120.2878787999507,120.3695630999282,120.3695630999282,120.3695630999282,51,56,120.3695630999282,121.38370899995789,56,124.30038209992927,124.30038209992927,124.30038209992927,124.38368969992734,125.30038049991708,125.30038049991708,125.30038049991708,125.38354139996227,125.38354139996227,125.3716649999842,right,2.2904030000790954,0.2790013999911025,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
19,0,19,0,125.73386339994613,,,,,,,,,125.72164909995627,125.73386339994613,126.78586989990436,126.7204541999381,126.72047299996484,126.78586989990436,126.78586989990436,126.78586989990436,48,73,126.78586989990436,127.79989699996077,48,130.73341439990327,130.73341439990327,130.73341439990327,130.8003747999901,131.73412389995065,131.73412389995065,131.73412389995065,131.79988969990518,131.79988969990518,131.78904449997935,right,1.4106411000248045,0.09521529998164624,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
20,0,20,0,132.15006059990264,,,,,,,,,132.13731779996306,132.15006059990264,,133.13721909991,133.13723579992075,133.20219320000615,133.20219320000615,133.20219320000615,,,133.20219320000615,134.21653989993501,57,137.1496270999778,137.1496270999778,137.1496270999778,137.2171437999932,138.15043099992909,138.15043099992909,138.15043099992909,138.21637249994092,138.21637249994092,138.20307029993273,right,0.20182160008698702,0.19940369995310903,82,57,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
21,0,21,0,138.6334667999763,,,,,,,,,138.62030289997347,138.6334667999763,,139.62010469997767,139.62012410000898,139.68664510000963,139.68664510000963,139.68664510000963,80,54,139.68664510000963,140.7001397999702,,143.64921119995415,143.64921119995415,143.64921119995415,143.70015309995506,144.65002749999985,144.65002749999985,144.65002749999985,144.6994238999905,144.6994238999905,144.68871609994676,None,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
22,0,22,0,145.0496205999516,,,,,,,,,145.03470199997537,145.0496205999516,,146.03569119994063,146.0357080999529,146.10192489996552,146.10192489996552,146.10192489996552,54,64,146.10192489996552,147.11655509995762,,150.04952759994194,150.04952759994194,150.04952759994194,150.11731649993453,151.05017439997755,151.05017439997755,151.05017439997755,151.11624499992467,151.11624499992467,151.10621789994184,None,,,,,157637,001,1,2024-05-27_17h08.47.987,article1,2024.1.4,None,2024-05-27 17h08.53.308793 +0330,
,,,,151.46664269990288,,,,,,,,,151.4545833999291,151.46664269990288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
